old,new
νομω,νομου
εφʼ,επʼ
αναστροπην,αναστροφην
θεοφιλος,θεοφιλου
ημα,ημας
δανισται,δανεισται
αγγια,αγγεια
δανια,δανεια
δανιστου,δανειστου
δανια,δανεια
πραιτευομενους,πραιδευομενους
δροξιμα,τρωξιμα
χειμο͂νι,χειμωνι
υπολελιπται,υπολελειπται
νικητου,ανικητου
α̈δη,αιδη
αγουσταλιε,αυγουσταλιε
αφωρισας,αφορισας
ποδαλγεια,ποδαλγια
απρακος,απρακτος
τουτωον,τουτων
επηριας,επηρειας
ανομαλιας,ανωμαλιας
ελεινοτητα,ελεεινοτητα
βασιλεικην,βασιλικην
ανελλειπως,ανελλιπως
συμφονικην,συμφωνικην
ανελλειπως,ανελλιπως
προσιμι,προσειμι
μητε,μηδε
δυσφημειας,δυσφημιας
αληθεινω,αληθινω
εινεκα,ενεκα
καγω,και εγω
προσιμι,προσειμι
λεηλατηθησαν,ελεηλατηθησαν
ιδον,ειδον
αθλειοι,αθλιοι
δημωται,δημοται
πρωτοκομητης,πρωτοκωμητης
πραιτωριανο͂ν,πραιτωριανων
ιουστινιανος,ιουστινιανου
επει,επι
αβακειον,αβακιον
επιξις,επειξις
ηναγκασθην,ηναγκασθη
πολλην,πολλη
κυκλωθεν,κυκλοθεν
κωτικος,κωδικος
εννατου,ενατου
κωτικα,κωδικα
ανουφιου,ανουφιος
συμφονη,συμφωνει
αξιοθεις,αξιωθεις
ειτοτος,ειδοτος
μοι,μη
ερμαυως,ερμαυωτος
ωφιλη,οφειλη
σενγραφη,συγγραφη
οφιλειν,οφειλειν
τω,το
ερημειτων,ερημιτων
αμνυμονευτου,αμνημονευτου
προγωνου,προγονου
βουλομαι,βουλωμαι
ο,ην
ενοικειου,ενοικιου
καθ’ʼ,καθʼ
τρισχειλια,τρισχιλια
βουλεσθαι,βουλεσθε
το,τον
ποιμεν,ποιμην
γραματα,γραμματα
ειδωτος,ειδοτος
τρισκαιδεκατου,τρεισκαιδεκατου
δεκανειας,δεκανιας
.,.
αξιωθις,αξιωθεις
λαμβανωμεν,λαμβανομεν
σου,σε
παρεξωμεν,παρεξομεν
μανδρας,μανδρων
τας,των
αρηλιος,αυρηλιος
μεμισθωμαρ,μεμισθωμαι
αλλεληγγυης,αλληλεγγυης
.,.
.,.
αυτω,αυτο
αλλων,αλλοις
τω,το
συντελειαν,συντελειας
την,της
ταις,των
εραιας,ερεας
πεπλιμενας,πεπλυμενας
δισσην,δισση
ομοτυπον,ομοτυπος
τον,των
της,τοις
πηγαιο,πηγαιω
αναβολικου,αναβολικω
τρις,τρεις
χιρειν,χαιρειν
τε,σε
μι,μοι
μικρης,μικρας
εξεταζαι,εξετασαι
ου,ο
ενοικειω,ενοικιω
αεργεια,αεργια
αποδεδοσθαι,αποδιδοσθαι
λειτουργιας,λειτουργιων
σιταρχειας,σιταρχιας
αναστασια,αναστασιαν
εναγκος,εναγχος
ζο͂ντα,ζωντα
τηκ [σ]ηκ,τηκ [σ]ηκ
διηκορευσα,διηγορευσα
ασελγιας,ασελγειας
οφελιμοις,ωφελιμοις
χωρεις,χωρις
ευρεσιλογιας,ευρησιλογιας
καταφρονεσαις,καταφρονησαις
μετʼ,μεθʼ
τη,η
ειδυιης,ειδυιας
αδιουτορ,αδιουτωρ
ομολογει,ομολογει
προσομειλειν,προσομιλειν
εικας,εικαδι
λογου,λογω
διαισιν,διεσιν
χρυσταις,χρησταις
τε,δε
διαισεως,διεσεως
τουτε,τουδε
παρουσα,παρουση
καθʼ,κατʼ
χαλατριων,χαλαδριων
βουλεσθε,βουλησθε
αναποδικτως,αναποδεικτως
ανατολος,ανατολιος
θυμενου,θεμενου
αγγια,αγγεια
αγγια,αγγεια
ευρεσιλογιας,ευρησιλογιας
παρουσα,παρουση
γεναμενω,γενομ
γραμματιω,γραμματειω
εκδανισασθαι,εκδανεισασθαι
χιρας,χειρας
χιρος,χειρος
δεδανισθαι,δεδανεισθαι
αναποστητως,αναποστατως
ῥαδηουργιας,ῥαδιουργιας
υμειν,υμιν
γραμματιον,γραμματει
αυρηλις,αυρηλιος
οκτακισχειλιων,οκτακισχιλιων
καθʼ,κατʼ
περιτετειχεισμενον,περιτετειχισμενον
αδειαλειπτως,αδιαλειπτως
δισακις,δισσακις
ταυτα,τουτο
τρισακις,τρισσακις
τον,το
καθʼ,κατʼ
αγγια,αγγεια
παρεξωμεν,παρεξομεν
παρεξωμεν,παρεξομεν
υπερειδομενοι,υπερειδομενοις
αλληλαναδωχων,αλληλαναδοχων
ῥεον,ῥεων
οκλ,οκλ
καρπου του,καρπου του
τρισκαιδεκατης,τρεισκαιδεκατης
των,ων
καθʼ,κατʼ
νεοφυτιον,νεοφυτειον
σπερμαβολιαν,σπερμοβολιαν
φιλοκαλεσω,φιλοκαλησω
καθʼ,κατʼ
συνκομιζης,συνκομιδης
καθʼ,κατʼ
καθʼ,κατʼ
μυξαιας,μυξεας
καθʼ,κατʼ
φοινκος,φοινικος
καθʼ,κατʼ
δεκατρις,δεκατρεις
καθʼ,κατʼ
αγγια,αγγεια
λεμψανης,λαμψανης
τεσσαρας,τεσσαρα
εσται,εστω
αξιωθις,αξιωθεις
γραματα,γραμματα
ειτοτος,ειδοτος
ελαωσι,ελαιωσι
με,με
τε,δε
διαισεως,διεσεως
φερουσα,φερουσα
σιγγουλλαριου,σιγγουλαριου
εννατης,ενατης
ου,ου
κεινω,εκεινω
κατʼ,καθʼ
αφροτιτης,αφροδιτης
τον,των
πετια,πεδια
φθαλ,φθλα
πεποιπημαι,πεποιημαι
διοσκωρου,διοσκορου
παγαρχον,παγαρχος
των,τα
διοσκωρου,διοσκορου
φοιβαμμων,φοιβαμμωνος
τεσσαρησκαιδεκατης,τεσσαρεσκαιδεκατης
τον,τα
αξειωθεις,αξιωθεις
ποθινοτητα,ποθεινοτητα
τεσερα,τεσσαρα
αληλεγ’γυης,αλληλεγ’γυης
οφιλω,οφειλω
προγεγραμενος,προγεγραμμενος
εικουσι,εικοσι
τεσερα,τεσσαρα
καθʼ,κατʼ
αποδωσεως,αποδοσεως
ομολογια,ομολογιαν
ομειλη,οφειλη
συνονης,συνωνης
επιγωνης,επιγονης
μερος,μερη
αυτοις,αυτους
χιμωνι,χειμωνι
ενδηματα,ενδυματα
σπερμοβαλιας,σπερμοβολιας
ανδρου,ανυδρου
οφικιαλιου,οφφικιαλιου
γεωργιγην,γεωργικην
σευστλου,σευτλου
ατιλογιας,αντιλογιας
τιχα,διχα
ομολογησα,ωμολογησα
μηνα,μηνας
προνοηητης,προνοητης
στιχι,στοιχει
μισθωσεως,μισθωσει
της,τη
χειραν,χειρα
απραγειας,απραγιας
φιλοπτωχωταταν,φιλοπτωχοτατην
συμ,συν
αφροτιδης,αφροδιτης
κομενταρισιου,κομμενταρησιου
κομητικο͂ν,κωμητικων
μελισουργος,μελισσουργος
εραιας,ερεας
χρυσονου,χρυσωνου
ωα,ωων
ωα,ωων
λατωμο,λατομου
ωα,ωων
βοττος,βοττου
βοττος,βοττου
ωα,ωων
ωα,ωων
τυρια,τυριων
ωα,ωων
ταριχια,ταριχιων
δημοσιεων,δημοσιευων
κονον,κονων
μελισουργος,μελισσουργος
χαλκωτυπος,χαλκοτυπος
κορευς,κουρευς
ῥαπτη,ῥαπτης
αγγια,αγγεια
εποικειωτων,εποικιωτων
καν,και αν
παρρουσιαν,παρουσιαν
χαμε,χαμαι
επικεια,επικεια
ορκω,ορκω
"λιβελλους,","λιβελλους,"
κενοτομιαν,καινοτομιαν
μητεμιαν,μηδεμιαν
μουσα,μουση
επιεικιαν,επιεικειαν
ημων,υμων
της,τοις
καγω,και εγω
συνβιου,συμβιου
κενοτομιαν,καινοτομιαν
μητεμιαν,μηδεμιαν
αντιρητικους,αντιρρητικους
κενοτομιαν,καινοτομιαν
ηδικτα,εδικτα
ανατεταγμενου,αναδεδεγμενου
οτι,οτε
τουτοις,τουτους
κενοτομιαν,καινοτομιαν
εφ’,επʼ
εργαλιων,εργαλειων
αγιωταττω,αγιωτατω
εταιρον,ετερον
κατ’,καθʼ
αφροντιστος,αφροντιστως
μεσιτιαν,μεσιτειαν
λελοχεναι,λελογχεναι
λελοχεναι,λελογχεναι
αμπελοφοριμο,αμπελοφοριμου
εκτοσμου,εκδοσιμου
εκτοστου,εκδοτου
ενοικειου,ενοικιου
καθʼ,κατʼ
παραδοσης,παραδωσης
ολιγωρησεν,ωλιγωρησεν
ειποτος,ειποντος
ελθοτος,ελθοντος
πεισω,πειθω
κομες,κομης
υπεγορευσα,υπηγορευσα
πασει,πασι
πεπισμενος,πεπεισμενος
τιχι*,τιχι*
συ,συ
σοφια,σοφια
σαιου,σαιου
"σοφια,","σοφια,"
σοφια,σοφια
βικ[τ]οκρκ,βικ[τ]οκρκ
"σοφια,","σοφια,"
σοφια,σοφια
σοφια,σοφια
απολλως,απολλως
τετρ]αεικοστον·,τετρ]αεικοστον·
χρυσοχοικω,χρυσοχοικω
γνυκου,κνηκου
εννατης,ενατης
στυχι,στοιχει
γνηκου,κνηκου
κορνηλιος,κορνηλιου
χρυσουχοικω,χρυσοχοικω
γνυκου,κνηκου
κορνηλιος,κορνηλιου
εξεδοκα,εξεδοθη
αυτω,αυτο
τω,το
ωσει,ωσι
κατομεριδου,κατωμεριδου
ωα,ωων
τυρια,τυριων
πραιτοριου,πραιτωριου
ανηλθοντος,ανελθοντος
ωα,ωων
ταυρινο,ταυρινω
εντολας,εντολων
δομεστικο,δομεστικος
επιλεξα,επιλεξα
ελεοτερον,ελεοτερον
παρʼ εμκοκυ,παρʼ εμκοκυ
μκοκυκ,μκοκυκ
εν,εν
γεραιοτητην,γεραιοτητα
εκαθεισα,εκαθισα
ευσεβον,ευσεβες
αποληθηναι,απολυθηναι
καταστησατο,κατεστησατο
ων,α
κενους,γενους
εμο,εμοι
συμβουλαιων,συμβολαιων
γυναικια,γυναικεια
οθωνια,οθονια
γυναικιον,γυναικειον
καλλινκου,καλλινικου
καν,και αν
γυναικιον,γυναικειον
εξων,εξον
θεσπιζαι,θεσπισαι
επελθοτας,επελθοντας
ς*,ς*
κυρω,κυρου
εννενηκοντα,ενενηκοντα
εγραφα,εγραψα
αρταβ,αρταβ
κομεως,κομμεως
μεθʼ,μετʼ
καταπλασε,καταπλασσε
θηλικα,θηλυκα
χειμονικα,χειμωνικα
μελαις,μελας
θηλικα,θηλυκα
θηλικα,θηλυκα
θηλικα,θηλυκα
θηλικον,θηλυκον
παλως,παλωτος
δημοσιεων,δημοσιων
αλελεγγυης,αλληλεγγυης
κορευς,κουρευς
φυλαττιν,φυλαττειν
ευαγι,ευαγει
διακιμενω,διακειμενω
πληρωθις,πληρωθεις
αγορεον,αγοραιον
εμαι,εμε
εχιν,εχειν
επιδη,επειδη
προφασι,προφασει
αποστιλας,αποστειλας
μεθοδιαν,μεθοδειαν
ευλαβια,ευλαβεια
ανυσχυρον,ανισχυρον
φυλαττιν,φυλαττειν
στοιχι,στοιχει
ετιθεις,αιτηθεις
αυριλιος,αυρηλιος
αιτιθις,αιτηθεις
αφροτιδην,αφροδιτην
εινα,ινα
εινα,ινα
απαιτησαν,απαιτησαι
παραμπεμφθεισης,παραπεμφθεισης
εκμπεμψαι,εκπεμψαι
σοφοτατο,σοφωτατου
αφαιρο͂ντες,αφαιρουντες
ευφροσυνων,ευφροσυνω
εου,εμου
φοιβαμμων,φοιβαμμωνος
βορρα,βορραν
κυκλωθεν,κυκλοθεν
ογδον,ογδοον
τα,τας
τεσσαρα,τεσσαρας
και,και
καθοσιωμενον,καθωσιωμενον
χηρεουσα,χηρευουση
εχαριζατο,εχαρισατο
προδυρομενοι,παροδυρομενοι
δανιστης,δανειστης
διδασκωμεν,διδασκομεν
νουμιων,νουμμιων
ευσημειας,ευσημιας
αισθητας,εσθητας
επιβαλιν,επιβαλειν
απερεστατων,απεριστατων
κιμηλιοι,κειμηλιοι
πανοικτισται,πανοικτιστοι
ημων,υμων
ευσφλαγχνοι,ευσπλαγχνοι
αθλειωτατα,αθλιωτατα
αληθεινου,αληθινου
διδασκαλειας,διδασκαλιας
ουκ,ουχ
τηληκαυτης,τηλικαυτης
ασυχη,ατυχη
θλειψιν,θλιψιν
ομωνημιαν,ομωνυμιαν
καθεικετευοντες,καθικετευοντες
δεσποτεια,δεσποτειαν
παρακλεισθε,παρακαλεισθε
σωφοις,σοφοις
σωφοτεροις,σοφωτεροις
μεγαλλην,μεγαλην
ατροφειαν,ατροφιαν
τεχνες,τεχνης
ενομιζεν,ενομισεν
δια,διο
κερατια,κερατιων
εννατης,ενατης
εννατης,ενατης
καθοσιωμενος,καθωσιωμενος
πισταλμα,επισταλμα
θιας,θειας
εξπελευτου,εξπελλευτου
κομενταρησιου,κομμενταρησιου
πυρκοφυλακος,πυργοφυλακος
συνηθιο͂ν,συνηθειων
τον,των
ο͂ν,ων
εσημμανεν,εσημανεν
τε,δε
ηλθαν,ηλθον
ηλθαν,ηλθον
μοι,μη
τω,το
καν,και αν
επαρηλθεν,παρηλθεν
αηδειζομαι,αηδιζομαι
υφορθωσιν,υπορθωσιν
κἂν,και αν
εβδοματος,εβδομαδος
λαβουσιν,λαβωσιν
οχληθησαν,ωχληθησαν
τω,το
αφροτιδης,αφροδιτης
παρεγγελθην,παρηγγελθην
καγω,και εγω
ουκ,ουχ
λαβιν,λαβειν
υγιενων,υγιαινων
πασα,παση
ευρεθηδε,ευρεθητε
ειδοτον,ειδοτων
γεωργος,γεωργον
ι*νδικτιονος,ι*νδικτιονος
ξενοδοχιου,ξενοδοχειου
ασφαλεαν,ασφαλειαν
ξενοδοχιον,ξενοδοχειον
ενοχως,ενοχος
ειη,ειην
ομεσα,ωμοσα
ορκων,ορκον
ιδοτος,ειδοτος
υιπερ,υπερ
εργασειαν,εργασιαν
ογκιαν,ουγκιαν
γεωργον,γεωργιον
στοιχοι,στοιχει
τη,της
απολωτος,απολλωτος
εξοις,εξης
κληρονομιδου,κληρονομιδιου
σεσιμειωμαι,σεσημειωμαι
σεσιμειωμαι,σεσημειωμαι
σεσιμειωμαι,σεσημειωμαι
στοιχου,στοιχει
σεσιμειωμαι,σεσημειωμαι
σεσιμειωμαι,σεσημειωμαι
σεσιμειωμαι,σεσημειωμαι
σεσημιωμαι,σεσημειωμαι
σηρενος,σερηνος
σεσημιωμαι,σεσημειωμαι
κορνηλιος,κορνηλιου
πλοιο,πλοιον
αλεξαδρειας,αλεξανδρειας
μονοστηριου,μοναστηριου
σεσιμειωμαι,σεσημειωμαι
σεσιμιωμαι,σεσημειωμαι
ῥαχη,ῥαχηλ
σεσιμιωμαι,σεσημειωμαι
σεσιμιωμαι,σεσημειωμαι
κορνηλιος,κορνηλιου
δευδερας,δευτερας
δημμσιων,δημοσιων
ημσου,ημισυ
διμερον,διμοιρον
νομτισμα,νομισμα
νομτισμα,νομισμα
διμερον,διμοιρον
νομτισμα,νομισμα
νομτισμα,νομισμα
δευδερας,δευτερας
δημμοσιων,δημοσιων
νομτισμα,νομισμα
νομτισμα,νομισμα
νομτισμα,νομισμα
νομτισμα,νομισμα
νομτισμα,νομισμα
νομτισμα,νομισμα
ασφαλιαν,ασφαλειαν
τα,το
εγραφα,εγραψα
απετηθεντα,απαιτηθεντα
νοταρριων,νοταριων
συνηθιων,συνηθειων
μινος,μινου
βαφευς,βαφεως
διακονου,διακονος
οικονομου,οικονομος
διακονου,διακονος
αναγνωστου,αναγνωστης
διαλαλεια,διαλαλια
διακειμενων,διακειμενω
δικρητου,δεκρητου
οφιλεις,οφειλεις
.,.
.,.
αυτης,αυτη
αποθηκης,αποθηκη
αυτης,αυτη
αποθηκης,αποθηκη
μεμισθωμαι,μεμισθωμεθα
αναιοπολιτων,ανταιοπολιτων
αδελφωτητι,αδελφοτητι
αντιου,ανταιου
σπορδουλου,σπορτουλου
στιχει,στοιχει
τρεια,τρια
θειω,θειων
ενοικειου,ενοικιου
ενοικειον,ενοικιον
ενοικειον,ενοικιον
πεντακισχειλια,πεντακισχιλια
ληθη,λησθη
αιδαισιμων,αιδεσιμων
προσκυνηση,προσκυνησει
ενταγιου,ενταγιω
χωματεπικτη,χωματεπεικτη
διαπισματος,διαπεισματος
κωμα,κομα
νταριου,νταριου
εδεξαμεν,εδεξαμην
αρταβας,αρταβαι
εδεξαμεν,εδεξαμην
μηνας,μηνα
γενεματος,γενηματος
μετρου,μετρω
συν,σην
κερατιων,κερατιων
γραμματιων,γραμματιον
ιωαννου,ιωαννη
δευρω,δευρο
τα,των
εμ,εν
σαβινιανω,σαβινιανου
κολλουθος,κολλουθου
οικτειρμοις,οικτιρμοις
χαριζασθαι,χαρισασθαι
θεσπιζαι,θεσπισαι
ηληκια,ηλικια
εξων,εξον
εβδελαξαμην,εβδελυξαμην
καγω,και εγω
φλαυιων,φλαυιου
διατυπωνισι,διατυπωθεισι
πατρολωοις,πατρολοοις
αρβας,αρβας
ινδικτιονος,ινδικτιωνος
τριακωντα,τριακοντα
ινδικτιονος,ινδικτιωνος
αξιοθεις,αξιωθεις
εντακιον,ενταγιον
μοι,μη
