old,new
χηρεουσα,χηρευουσα
δεδανισθαι,δεδανεισθαι
εξειθραν,εξεδραν
γαμαρας,καμαρας
ενοικειου,ενοικιου
παραμυθειας,παραμυθιας
ανεπιδανιστον,ανεπιδανειστον
δανιω,δανειω
θεμην,εθεμην
εμ,εν
πορνιας,πορνειας
τριω,τριων
ασελγιας,ασελγειας
ιλικρινη,ειλικρινη
αψικωριας,αψικοριας
σωφρονει,σωφρονι
καταφρονεσης,καταφρονησης
μετʼ,μεθʼ
καθʼ,κατʼ
τω,το
εσθησεις,αισθησεις
υπαγορευσα,υπηγορευσα
υβρι,υβρει
σωφρονει,σωφρονι
δε,τε
πλημμηληματων,πλημμεληματων
δεδειως,δεδιως
ενοικειον,ενοικιον
πικουλιω,πεκουλιω
ληγαδον,ληγατον
παραμυθειαν,παραμυθιαν
καθʼ,κατʼ
ειλεικρινη,ειλικρινη
ανελλειπως,ανελλιπως
ληγαδον,ληγατον
ληγαδον,ληγατον
μακρωγηραιη,μακρογηραια
ουνομα,ονομα
τιχειζει,τειχιζει
πολιτια,πολιτεια
καθοσιωμενου,καθωσιωμενου
προτοκωμητη,πρωτοκωμητη
επ]ληρωθη,επ]ληρωθη
αποχην,αποχη
κης,γης
στιχοι,στοιχει
εγγραψα,εγραψα
καννος,κανονος
κληρο,κληρω
νεμεσιανω,νεμεσιανος
σιτου,σιτω
τη,τε
φθαλ,φθλα
ην,σην
πεποιημε,πεποιημαι
γεουχως,γεουχος
μερος,μερους
μερος,μερους
μι,μοι
σκρινιαρις,σκρινιαριος
στοιχι,στοιχει
εγγραψα,εγραψα
ειδωτος,ειδοτος
τκας,τκας
",",","
.,.
αγνατων,αγνατων
α,α
σαςκ,σαςκ
τας,τας
κ,κ
προσυδρευειν,προσεδρευειν
ακαταγνοστως,ακαταγνωστως
ζητουμενον,ζητουμενος
απολημφθειη,απολειφθειη
το,τω
ομοσα,ωμοσα
θειων,θειον
δεκανειας,δεκανιας
προσυδρευειν,προσεδρευειν
ακαταγνοστως,ακαταγνωστως
παραστασις,παραστασεις
προσοπων,προσωπων
απολυμφθειη,απολειφθειη
παρεξει,παρεξω
το,τω
προφερομενο,προφερομενην
ομοσα,ωμοσα
δεκανειας,δεκανιας
ποιμενων,ποιμενας
προσυδρευειν,προσεδρευειν
παραστασις,παραστασεις
προσοπων,προσωπων
ακαταγνοστως,ακαταγνωστως
παραδωσωμεν,παραδωσομεν
ευρεθειη,ευρεθειεν
ομοσα,ωμοσα
βικτωρι,βικτωρα
υιων,υιον
εγγη,εγγυη
απολυμφθειη,απολημφθειη
ψενθαησιν,ψενθαησεως
εικοστες,εικοστης
εκατεστης,εκατοστης
μετανιας,μετανοιας
προτοκομητου,πρωτοκωμητου
τεσερες,τεσσαρες
μετανιας,μετανοιας
διακκονων,διακονων
υποδεταγμενων,υποτεταγμενων
φοιβαμμων,φοιβαμμωνος
φοιβαμμων,φοιβαμμωνος
φοιβαμμων,φοιβαμμωνος
πινουτιων,πινουτιωνος
"τετ⟦ρα⟧,","τετ⟦ρα⟧,"
νομης,μονης
καθʼ,κατʼ
υπεραιωσεως,περαιωσεως
τριακας,τριακαδι
αρταβες,αρταβας
καθʼ,κατʼ
καθʼ,κατʼ
φ,φ
αυτοις,αυτον
πεμπτη,πεμπτου
ον,ο
απρακτω,απρακτου
χοιρομαγειρος,χοιρομαγειρον
ισομεριας,ισομερειας
αγγια,αγγεια
αγγιον,αγγειον
πωλυση,πωληση
λυστρικω,ληστρικω
εκωντες,εκοντες
νεουμηνια,νουμηνια
ενιεω,ενιαιω
ενεστωσοι,ενεστωση
υποτεταγμεναι,υποτεταγμενη
ομβρυζους,οβρυζους
αριθμων,αριθμον
των,τον
υπειτεταγμενων,υποτεταγμενων
ομβρυζους,οβρυζους
δε,τε
τεσαρων,τεσσαρων
επισυναγωμενων,επισυναγομενων
διμοιριεων,διμοιριαιων
